early_anchor_min,late_anchor_min,fixed_bff_early_p_transport,fixed_bff_late_p_transport,fixed_bff_pair_exceed,fixed_base60_early_p_transport,fixed_base60_late_p_transport,fixed_base60_pair_exceed,fixed_nrgf60_early_p_transport,fixed_nrgf60_late_p_transport,fixed_nrgf60_pair_exceed,fixed_representation_exceedance_count,fixed_primary_pair_exceed,spherical_bff_early_p_transport,spherical_bff_late_p_transport,spherical_bff_pair_exceed,spherical_base60_early_p_transport,spherical_base60_late_p_transport,spherical_base60_pair_exceed,spherical_nrgf60_early_p_transport,spherical_nrgf60_late_p_transport,spherical_nrgf60_pair_exceed,spherical_representation_exceedance_count,spherical_primary_pair_exceed,measured_bff_early_p_transport,measured_bff_late_p_transport,measured_bff_pair_exceed,measured_base60_early_p_transport,measured_base60_late_p_transport,measured_base60_pair_exceed,measured_nrgf60_early_p_transport,measured_nrgf60_late_p_transport,measured_nrgf60_pair_exceed,measured_representation_exceedance_count,measured_primary_pair_exceed
1800.0,2160.0,0.0990145381230871,0.1827288597332401,False,0.144089064419656,0.2300260324244456,False,0.09757186131848658,0.2523115108163877,False,0,False,0.08784306895293753,0.23940515745371538,False,0.07280526742873301,0.23326781258973817,False,0.08796946129511077,0.3084106617908811,False,0,False,0.08663123874890537,0.1847199756618146,False,0.10003423490850213,0.2539121424269853,False,0.06539640908836182,0.3084238392303976,False,0,False
1830.0,2190.0,0.17273462957999336,0.25492265564717687,False,0.06015444701756303,0.280615271016586,False,0.08835509169620445,0.2947018703471511,False,0,False,0.1737333624790821,0.1491490875743945,False,0.05098851587447408,0.2933999650703263,False,0.1191981446304416,0.2930665007910658,False,0,False,0.18678089075778406,0.1593157137026852,False,0.05521159923888613,0.2667707547781459,False,0.13513238930608212,0.26981320783066765,False,0,False
1860.0,2220.0,0.10605544718587998,0.4907399603174183,False,0.11340317157206234,0.3047318358530973,False,0.12119281297116202,0.2191876055857745,False,0,False,0.22159257563431928,0.3134701574728167,False,0.13418113293601155,0.34314402128823634,False,0.11167667303580246,0.2852953089763035,False,0,False,0.2297266991985064,0.32216825200242394,False,0.12906311759545747,0.3656404794814001,False,0.15687161854119513,0.29176339387417294,False,0,False
1890.0,2250.0,0.056375889751314086,0.39421279349153204,False,0.21254379808149595,0.4020880895187916,False,0.2030737508231073,0.4225570824570637,False,0,False,0.04079535128064984,0.31501277186464693,False,0.1890502181222202,0.43538594798194613,False,0.12642535787819947,0.4116074819742325,False,0,False,0.056464006495733444,0.33098773017732475,False,0.14658560445200824,0.4338307562149133,False,0.17931336775230314,0.4162201813221825,False,0,False
1920.0,2280.0,0.05203117574243048,0.3157023851791765,False,0.11071408410505448,0.4117863008934973,False,0.11907432629238235,0.43013492436026624,False,0,False,0.023945938068355647,0.26066956122827956,False,0.10905352526463914,0.4433496076293653,False,0.14012665958886802,0.48681328043066247,False,0,False,0.10013832181540291,0.19676974672595648,False,0.11345237976117131,0.36848250190946097,False,0.12959587870204792,0.4585806239411765,False,0,False
1950.0,2310.0,0.21173248154413535,0.3568160962118686,False,0.05903610872078367,0.4091563274675185,False,0.109965339218411,0.46526042761403563,False,0,False,0.12768526064093283,0.3674240324510235,True,0.09614947740827834,0.3986757385132367,False,0.17701206750447548,0.4747090051272774,False,1,False,0.14988060400096137,0.33602637637714416,False,0.1873515707411271,0.40318739310734386,True,0.1769873271325359,0.43926363932981394,False,1,False
1980.0,2340.0,0.16800588624914964,0.3280625950591557,False,0.16150867596548446,0.3186829733801327,False,0.23862562958047218,0.3546354852455601,False,0,False,0.09166678271501504,0.46951790499759904,False,0.2481596020483246,0.31517501069639203,False,0.2007650835911166,0.300020830715646,False,0,False,0.08532752585191458,0.4910826050706031,False,0.1633072478079194,0.3021651898628699,False,0.18365157450987743,0.27576228620984905,False,0,False
2010.0,2370.0,0.14055617664604042,0.3130900136510556,False,0.23331920981863816,0.3233478647858903,False,0.2356424573403423,0.26428970271901764,False,0,False,0.09238985346060881,0.42691703991868324,False,0.3236443566283944,0.3490278596329077,False,0.12989793495201624,0.24428303340617774,False,0,False,0.11010585129459369,0.41739375717171945,False,0.13501801283941886,0.32575995671086433,False,0.08148348684819717,0.20277197628117322,False,0,False
2040.0,2400.0,0.06938542269866609,0.3014840666985905,False,0.1453260573179536,0.4892362686336661,False,0.16133674272818577,0.37391927983483286,False,0,False,0.18019589907492062,0.4191766026474959,True,0.22633082731000034,0.4888662124784181,False,0.11984599618541235,0.38127308908326785,False,1,False,0.15308652199566322,0.43457686304355037,False,0.12108957676156455,0.5036683201893583,False,0.046042611101933556,0.4083319292264127,False,0,False
2070.0,2430.0,0.08578507988252106,0.39018583782356897,False,0.11656190998456475,0.39876622306387155,False,0.1433916967141638,0.35557047588072066,False,0,False,0.2677979545466078,0.31822087321092857,False,0.16320516176443353,0.39071679255851355,False,0.1304908726405919,0.3985121978453049,False,0,False,0.27957591473413973,0.37845553490045697,True,0.14376236490314248,0.40893852720002954,False,0.15564373514112329,0.40186525051873356,False,1,False
